"Close Business Day Now","Закрыть бизнес день сейчас"
"Paste %1 here","Вставьте %1 сюда"
"or select file on your computer","или выберите файл на вашем компьютере"
"Specify this url in the certificate request email","Укажите этот URL в электронном письме с запросом на сертификат"
"Invalid Mega Bank Config.","Недопустимая конфигурация Mega Bank."
"An error occurred while creating a payment. Please try again.","Произошла ошибка при создании платежа. Пожалуйста, попробуйте еще раз."
"The order amount has changed. Repeat the data entry for the payment.","Сумма заказа изменилась. Повторите ввод данных для платежа."
"Invalid cron expression: %1","Недопустимое выражение cron: %1"
"Invalid cron expression, expecting 'match/modulus': %1","Недопустимое выражение cron, ожидание 'match/modulus': %1"
"Invalid cron expression, expecting numeric modulus: %1","Недопустимое выражение cron, ожидается числовой модуль: %1"
"Invalid cron expression, expecting 'from-to' structure: %1","Недопустимое выражение cron, ожидается структура 'от-до': %1"
Sandbox,Тестовое
Production,Боевое
"Sms (Single Message System)","Sms (система единого сообщения)"
"Dms (Dual Message System)","Dms (двойная система сообщений)"
"Can't create api config object","Не удается создать объект конфигурации api"
"Business day has been successfully closed","Бизнес день успешно закрыт"
"Unexpected error","Неожиданная ошибка"
"Close business day error: %1","Ошибка закрытия бизнес дня: %1"
"A payment error has occurred. Please repeat the data entry for the payment.","Произошла ошибка платежа. Повторите ввод данных для платежа."
"Can't find transaction for capture.","Не удается найти транзакцию для списания."
"A payment error has occurred. Error: %1. Please try again.","Произошла ошибка платежа. Ошибка: %1. Пожалуйста, попробуйте еще раз."
"A payment error has occurred. Operation result: %1. Api error: %2","Произошла ошибка платежа. Результат операции: %1. Ошибка API: %2"
"A payment error has occurred. Operation result: %1","Произошла ошибка платежа. Результат операции: %1"
"We received your payment data","Мы получили Ваши платежные данные"
"Place Order","Оформить заказ"
"Pay Order","Оплатить заказ"
"Unexpected payment error. Please try pay again","Неожиданная ошибка оплаты. Повторите попытку оплаты"
"Mega Bank Payment","Mega Bank Payment"
Enabled,Включено
Title,Заголовок
Language,Язык
"Order Description","Описание заказа"
"Payment Action","Платежное действие"
"Enable debug log","Включить журнал отладки"
Instructions,Инструкции
"Payment from Applicable Countries","Платеж из соответствующих стран"
"Payment from Specific Countries","Платеж из определенных стран"
"Sort Order","Порядок сортировки"
"Api Connection Settings","Настройки подключения API"
Environment,Окружение
"Api Url","Api Url"
"Sandbox Api Url","Api Url для тестового окружения"
"Widget Url","URL виджета"
Password,Пароль
"Ip Address","IP-адрес"
Certificate,Сертификат
Key,Ключ
"Close Business Day Settings","Настройки закрытия бизнес дня"
"Enable Cron Close","Включить закрытие по крону"
"Cron Schedule","Cron Расписание"
"Approved","Одобрено"
"Approved with identification","Одобрено с идентификацией"
"Approved for partial amount","Одобрено на неполную сумму"
"Approved for VIP","Одобрено VIP – клиент"
"Approved, update track 3","Одобрено"
"Approved, account type specified by card issuer","Подтверждено, тип счета определен эмитентом карты"
"Approved for partial amount, account type specified by card issuer","Одобрено на неполную сумму, тип счета устанавливается Эмитентом карты"
"Approved, update ICC","Одобрено"
"Approved","Подтверждено"
"Decline","Отказ"
"Decline, expired card","Отказ: карта просрочена"
"Decline, suspected fraud","Отказ"
"Decline, card acceptor contact acquirer","Отказ: свяжитесь с обслуживающим банком"
"Decline, restricted card","Отказ: карта имеет ограничения"
"Decline, card acceptor call acquirer's security department","Отказ: вызовите службу безопасности банка"
"Decline, allowable PIN tries exceeded","Отказ: превышено число попыток ввода PIN - кода"
"Decline, refer to card issuer","Отказ: свяжитесь с Эмитентом"
"Decline, refer to card issuer's special conditions","Отказ: обратитесь к Эмитенту"
"Decline, invalid merchant","Отказ: неверный код терминала"
"Decline, invalid amount","Отказ: неверная сумма"
"Decline, invalid card number","Отказ: неверный номер Карты"
"Decline, PIN data required","Отклонено, требуется данные PIN"
"Decline, unacceptable fee","Отказ: недопустимая комиссия"
"Decline, no account of type requested","Отказ: неверный номер счета"
"Decline, requested function not supported","Отказ: запрошенная операция недопустима для карты"
"Decline, not sufficient funds","Отказ: недостаточно средств"
"Decline, incorrect PIN","Отказ: неверный PIN-код"
"Decline, no card record","Отказ: карта не найдена"
"Decline, transaction not permitted to cardholder","Отказ: операция не разрешена клиенту"
"Decline, transaction not permitted to terminal","Отказ: операция, не разрешена по данному терминалу"
"Decline, exceeds withdrawal amount limit","Отказ: превышен лимит"
"Decline, security violation","Отказ: по соображениям безопасности"
"Decline, exceeds withdrawal frequency limit","Отказ: превышено число операций"
"Decline, violation of law","Отказ: запрещено законодательством"
"Decline, card not effective","Отказ: карта неактивна"
"Decline, invalid PIN block","Отказ: неверный PIN-блок"
"Decline, PIN length error","Отказ: неверная длина PIN-код"
"Decline, PIN kay synch error","Отказ: ошибка обработки PIN-код"
"Decline, suspected counterfeit card","Отказ: возможно, поддельная карта (реквизиты карты введены не верно)"
"Decline, by cardholders wish","Отказ: по желанию держателя карты"
"Decline, Card is not active","Отказ: карта не активна"
"Pick-up (general, no comments)","Изъять карту"
"Pick-up, expired card","Изъять карту: карта просрочена"
"Pick-up, suspected fraud","Изъять карту: возможна мошенническая операция"
"Pick-up, card acceptor contact card acquirer","Изъять карту: свяжитесь с обслуживающим банком"
"Pick-up, restricted card","Изъять карту: карта имеет ограничения"
"Pick-up, card acceptor call acquirer's security department","Изъять карту: вызовите службу безопасности обслуживающего банка"
"Pick-up, allowable PIN tries exceeded","Изъять карту: превышено число попыток ввода PIN-код"
"Pick-up, special conditions","Изъять карту: специальные условия"
"Pick-up, lost card","Изъять карту: карта утеряна"
"Pick-up, stolen card","Изъять карту: карта украдена"
"Pick-up, suspected counterfeit card","Изъять карту: возможно, поддельная карта"
"File action successful","Файловое действие успешно"
"File action not supported by receiver","Действие файла не поддерживается получателем"
"Unable to locate record on file","Невозможно найти запись в файле"
"Duplicate record, old record replaced","Дублированная запись, старая запись заменена"
"File record field edit error","Ошибка редактирования поля записи файла"
"File locked out","Файл заблокирован"
"File action not successful","Действие файла не успешно"
"File data format error","Ошибка формата данных файла"
"Duplicate record, new record rejected","Дублированная запись, новая запись отклонена"
"Unknown file","Неизвестный файл"
"Accepted (for reversal)","Одобрено (для отмены авторизации)"
"Approved (for reversals), no original message data","Одобрено (для отмены авторизации), оригинальная операция не найдена"
"Status message: reconciled, in balance","Одобрено: итоги совпали"
"Status message: reconciled, out of balance","Обратитесь к дежурной службе: итоги не совпали"
"Status message: amount not reconciled, totals provided","Обратитесь к дежурной службе: сверка итогов не прошла"
"Status message: totals for reconciliation not available","Нет итогов для сверки"
